City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Cidreira,BR,-30.1811,-50.2056,71.76,72,100,4.97,light rain
145,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,69,70,2.84,broken clouds
146,Kavaratti,IN,10.5669,72.642,80.96,82,91,20.8,overcast clouds
147,Krasnoselkup,RU,65.7,82.4667,52.18,80,69,3.4,broken clouds
148,Guacui,BR,-20.7756,-41.6794,73.0,58,86,4.05,overcast clouds
149,Lieksa,FI,63.3167,30.0167,75.49,52,38,2.91,scattered clouds
150,Puerto Ayora,EC,-0.7393,-90.3518,75.16,88,84,8.99,broken clouds
151,Kahului,US,20.8947,-156.47,73.42,83,40,8.05,light rain
152,Valdosta,US,30.8327,-83.2785,91.9,68,20,3.44,few clouds
153,Velesin,CZ,48.8295,14.4625,80.24,54,99,3.83,overcast clouds
154,Clyde River,CA,70.4692,-68.5914,38.57,93,100,2.28,light rain
155,Vaini,TO,-21.2,-175.2,74.01,75,5,9.33,clear sky
156,Huangchuan,CN,32.1272,115.0394,78.17,93,4,5.82,clear sky
157,Pailon,BO,-17.65,-62.75,85.1,28,95,18.16,overcast clouds
158,Pitimbu,BR,-7.4706,-34.8086,77.59,81,89,13.31,overcast clouds
159,Half Moon Bay,US,37.4636,-122.4286,66.87,84,100,9.22,mist
160,Korem,ET,12.5058,39.5228,64.56,60,81,5.08,light rain
161,Kaeo,NZ,-35.1,173.7833,50.32,95,36,5.32,scattered clouds
162,Rio Grande,BR,-32.035,-52.0986,73.51,94,100,3.33,light rain
163,Carnarvon,AU,-24.8667,113.6333,66.76,63,85,15.3,overcast clouds
164,Bardiyah,LY,31.7561,25.0865,80.29,53,0,15.9,clear sky
165,Sabla,NG,12.7525,4.7077,88.99,45,86,9.33,overcast clouds
166,Asau,RO,46.4333,26.4,81.52,29,0,8.32,clear sky
167,Panguna,PG,-6.3164,155.4848,69.62,90,97,3.09,overcast clouds
168,Bushehr,IR,28.9684,50.8385,93.29,62,0,13.8,haze
169,Pangnirtung,CA,66.1451,-65.7125,44.6,100,100,8.05,overcast clouds
170,Changli,CN,39.7042,119.1506,73.38,81,7,2.33,clear sky
171,Buin,CL,-33.7333,-70.75,65.43,38,0,1.9,clear sky
172,Martapura,ID,-3.4167,114.85,77.09,94,75,1.14,broken clouds
173,Novobirilyussy,RU,56.9514,90.6661,55.65,97,100,2.73,overcast clouds
174,Zakamensk,RU,50.3741,103.2863,50.4,98,100,0.43,moderate rain
175,Norman Wells,CA,65.282,-126.8329,60.84,88,75,0.0,broken clouds
176,Georgetown,MY,5.4112,100.3354,83.89,86,20,3.44,few clouds
177,Vanavara,RU,60.34,102.2797,58.37,71,64,3.36,broken clouds
178,Teguldet,RU,57.3064,88.1667,56.61,97,99,6.49,overcast clouds
179,Payson,US,40.0444,-111.7321,87.42,38,40,9.22,scattered clouds
180,Norden,DE,53.6,7.2,71.15,89,99,7.76,overcast clouds
181,Constitucion,CL,-35.3333,-72.4167,58.59,70,24,5.41,few clouds
182,Diban,SY,35.0365,40.5167,100.35,12,0,9.26,clear sky
183,Filadelfia,US,39.9523,-75.1638,95.61,60,40,11.5,scattered clouds
184,Hasaki,JP,35.7333,140.8333,79.29,91,100,13.6,overcast clouds
185,Khatanga,RU,71.9667,102.5,52.99,66,100,7.27,overcast clouds
186,Tornio,FI,65.8481,24.1466,71.62,70,97,5.95,light rain
187,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,8.05,broken clouds
188,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,11.5,light rain
189,Manihari,IN,25.35,87.6333,82.76,85,100,8.7,light rain
190,Fortuna,US,40.5982,-124.1573,57.92,91,87,5.23,overcast clouds
191,Springdale,US,36.1867,-94.1288,92.57,46,0,9.22,clear sky
192,South Valley,US,35.0101,-106.6781,88.39,36,0,0.0,clear sky
193,Chicama,PE,-7.8447,-79.1469,59.54,67,72,6.98,broken clouds
194,Nanortalik,GL,60.1432,-45.2371,52.27,74,7,14.5,clear sky
195,Lompoc,US,34.6391,-120.4579,57.61,88,100,5.75,overcast clouds
196,Waingapu,ID,-9.6567,120.2641,74.53,86,72,8.72,broken clouds
197,Yakima,US,46.4665,-120.6678,82.18,42,0,3.44,clear sky
198,Saint George,US,37.1041,-113.5841,97.79,21,0,4.61,clear sky
199,Mahanje,TZ,-9.9333,35.3333,61.52,82,48,2.24,light rain
200,Rocha,UY,-34.4833,-54.3333,60.87,71,74,9.53,broken clouds
201,Moussoro,TD,13.6408,16.4901,90.57,46,99,0.63,overcast clouds
202,Riyadh,SA,24.6877,46.7219,107.74,6,54,13.96,broken clouds
203,Aykhal,RU,66.0,111.5,51.73,93,100,0.63,overcast clouds
204,Sobolevo,RU,54.4299,31.8996,67.08,75,18,12.64,few clouds
205,Mersing,MY,2.4312,103.8405,75.11,94,40,4.61,scattered clouds
206,Castro,BR,-24.7911,-50.0119,72.77,52,5,7.9,clear sky
207,Cochrane,CA,51.1834,-114.4687,75.47,40,0,2.3,clear sky
208,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,3.44,clear sky
209,Yazman,PK,29.1212,71.7446,81.7,76,80,23.64,broken clouds
210,Hailun,CN,47.45,126.9333,65.93,78,19,7.4,few clouds
211,Dandong,CN,40.1292,124.3947,68.36,87,78,3.51,moderate rain
212,Palana,RU,59.1167,159.9667,48.52,80,18,8.3,few clouds
213,The Valley,AI,18.217,-63.0578,86.14,74,40,19.57,scattered clouds
214,Devonport,AU,-41.1667,146.35,49.01,86,18,7.9,few clouds
215,Wenling,CN,28.3669,121.36,79.84,88,61,7.63,broken clouds
216,Phonhong,LA,18.5007,102.4166,75.36,94,100,2.53,overcast clouds
217,Luganville,VU,-15.5333,167.1667,77.45,86,36,6.04,scattered clouds
218,Vardo,NO,70.3705,31.1107,56.44,87,100,10.33,overcast clouds
219,Porto Novo,BJ,6.4965,2.6036,80.92,67,78,11.86,broken clouds
220,Pangody,RU,65.85,74.4859,44.42,86,100,10.13,overcast clouds
221,Empalme,MX,27.9667,-110.8167,96.93,52,20,16.11,few clouds
222,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,100,100,6.91,drizzle
